dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-03-21,A,15184.6072038455,,849.3101399739584,886.8716634114584,1138.9281412760417,893.8623046875,1.2599999904632568,1.3600000143051147
2025-03-21,B,16816.71023058643,35.260110847371756,847.8642578125,886.8880208333334,1092.0291341145833,1110.1302897135417,1.3200000524520874,1.399999976158142
2025-03-22,A,15801.882072251941,,848.63916015625,886.8455403645834,1116.776123046875,901.781982421875,1.3600000143051147,1.3899999856948853
2025-03-22,B,10023.099493579119,42.48289576522275,846.7699381510416,896.1795247395834,963.2861328125,912.83447265625,1.3700000047683716,1.409999966621399
2025-03-23,A,4592.863585164835,,847.0,898.369384765625,1099.9590657552083,899.5145670572916,1.340000033378601,1.3799999952316284
2025-03-23,B,9516.13011835018,48.81354506724457,845.3462727864584,900.337158203125,939.3368326822916,908.0922037760416,1.350000023841858,1.350000023841858
2025-03-24,A,16396.253467504495,,846.40576171875,899.8697916666666,1103.2378743489583,912.8447265625,1.350000023841858,1.309999942779541
2025-03-24,B,18059.5963540733,37.29003947525227,844.9495442708334,897.7552897135416,1130.6576334635417,850.7530110677084,1.3700000047683716,1.3200000524520874
2025-03-25,A,17747.395757773702,,846.2275390625,895.0638020833334,1169.4286295572917,878.8279622395834,1.350000023841858,1.3200000524520874
2025-03-25,B,16344.170512538682,42.116868102078065,807.9984537760416,893.1983235677084,1064.4931640625,944.5293782552084,1.399999976158142,1.3600000143051147
2025-03-26,A,14692.770068225913,,792.1549479166666,889.4510904947916,967.5343424479166,917.3924153645834,1.4600000381469727,1.4199999570846558
2025-03-26,B,17857.00665636622,43.47556703609715,790.1560872395834,890.76171875,1083.7567545572917,852.4554850260416,1.3799999952316284,1.399999976158142
2025-03-27,A,14846.404529365778,,818.343994140625,885.6318359375,1235.4219563802083,922.9690755208334,1.3799999952316284,1.409999966621399
2025-03-27,B,18064.67304069697,34.28845493125093,876.442138671875,882.275146484375,1180.1941731770833,991.0150553385416,1.340000033378601,1.4199999570846558
2025-03-28,A,16236.143124020053,,903.122314453125,900.238525390625,1116.3101399739583,992.4408365885416,1.3899999856948853,1.399999976158142
2025-03-28,B,14729.426204335408,43.58518281025507,907.0735677083334,906.7977701822916,1144.4654947916667,974.47412109375,1.3300000429153442,1.3200000524520874
2025-03-29,A,17288.490934050584,,908.9527994791666,906.213623046875,1183.0680338541667,884.6651204427084,1.3799999952316284,1.350000023841858
2025-03-29,B,17847.479260979097,42.949717671762876,907.3692220052084,901.8380533854166,1231.6776529947917,902.400146484375,1.4600000381469727,1.309999942779541
2025-03-30,A,18337.915438342716,,901.468017578125,886.0545247395834,1145.32177734375,0.22403482596079508,1.4299999475479126,1.3200000524520874
